canonical_name,pokemon_database_id,pokemon_database_raw,pokemon_csv_raw,sprite_file_raw,in_anchor,in_pokemon_csv,in_sprite_file
Arctibax,1724,Arctibax,,Arctibax,True,False,True
Arctovish,1422,Arctovish,Arctovish,Arctovish,True,True,True
Arctozolt,1420,Arctozolt,Arctozolt,Arctozolt,True,True,True
Ariados,261,Ariados,Ariados,Ariados,True,True,True
Armaldo,476,Armaldo,Armaldo,Armaldo,True,True,True
Armarouge,1658,Armarouge,,Armarouge,True,False,True
Aromatisse,1102,Aromatisse,Aromatisse,Aromatisse,True,True,True
Aron,432,Aron,Aron,Aron,True,True,True
Arrokuda,1507,Arrokuda,Arrokuda,Arrokuda,True,True,True
Articuno,239,Articuno,Articuno,Articuno,True,True,True
Articuno (Galarian),1385,Articuno (Galar),Galarian Articuno,Articuno-Galar,True,True,True
Ash-Greninja,,,Ash-Greninja,,False,True,False
Audino,865,Audino,Audino,Audino,True,True,True
Audino (Mega),1563,Audino (Mega),Mega Audino,Audino-Mega,True,True,True
Aurorus,1127,Aurorus,Aurorus,Aurorus,True,True,True
Avalugg,1143,Avalugg,Avalugg,Avalugg,True,True,True
Avalugg (Hisuian),1639,Avalugg (Hisui),,Avalugg-Hisui,True,False,True
Axew,983,Axew,Axew,Axew,True,True,True
Azelf,732,Azelf,Azelf,Azelf,True,True,True
Azumarill,284,Azumarill,Azumarill,Azumarill,True,True,True
Azurill,426,Azurill,Azurill,Azurill,True,True,True
Bagon,499,Bagon,Bagon,Bagon,True,True,True
Baltoy,471,Baltoy,Baltoy,Baltoy,True,True,True
Banette,482,Banette,Banette,Banette,True,True,True
Banette (Mega),1592,Banette (Mega),Mega Banette,Banette-Mega,True,True,True
Barbaracle,1108,Barbaracle,Barbaracle,Barbaracle,True,True,True
Barbaracle (Mega),,,,Barbaracle-Mega,False,False,True
Barboach,467,Barboach,Barboach,Barboach,True,True,True
Barraskewda,1508,Barraskewda,Barraskewda,Barraskewda,True,True,True
Basculegion,1609,Basculegion,,,True,False,False
Basculegion-Female,,,,Basculegion-Female,False,False,True
Basculegion-Male,,,,Basculegion-Male,False,False,True
Basculin,885,Basculin,Basculin,,True,True,False
Basculin-Blue-Striped,,,,Basculin-Blue-Striped,False,False,True
Basculin-Red-Striped,,,,Basculin-Red-Striped,False,False,True
Basculin-White-Striped,,,,Basculin-White-Striped,False,False,True
Bastiodon,609,Bastiodon,Bastiodon,Bastiodon,True,True,True
Baxcalibur,1725,Baxcalibur,,Baxcalibur,True,False,True
Baxcalibur (Mega),,,,Baxcalibur-Mega,False,False,True
Bayleef,246,Bayleef,Bayleef,Bayleef,True,True,True
Beartic,987,Beartic,Beartic,Beartic,True,True,True
Beautifly,395,Beautifly,Beautifly,Beautifly,True,True,True
Beedrill,27,Beedrill,Beedrill,Beedrill,True,True,True
Beedrill (Mega),28,Beedrill (Mega),Mega Beedrill,Beedrill-Mega,True,True,True
Beheeyem,978,Beheeyem,Beheeyem,Beheeyem,True,True,True
Beldum,502,Beldum,Beldum,Beldum,True,True,True
Bellibolt,1662,Bellibolt,,Bellibolt,True,False,True
Bellossom,67,Bellossom,Bellossom,Bellossom,True,True,True
Bellsprout,1109,Bellsprout,Bellsprout,Bellsprout,True,True,True
Bergmite,1142,Bergmite,Bergmite,Bergmite,True,True,True
Bewear,1288,Bewear,Bewear,Bewear,True,True,True
Bibarel,601,Bibarel,Bibarel,Bibarel,True,True,True
Bidoof,600,Bidoof,Bidoof,Bidoof,True,True,True
Binacle,1107,Binacle,Binacle,Binacle,True,True,True
Bisharp,999,Bisharp,Bisharp,Bisharp,True,True,True
Blacephalon,1337,Blacephalon,Blacephalon,Blacephalon,True,True,True
Black Kyurem,,,Black Kyurem,,False,True,False
Blastoise,12,Blastoise,Blastoise,Blastoise,True,True,True
Blastoise (Gigantamax),1525,Blastoise (Gigantamax),Gigantamax Blasoise,Blastoise-Gmax,True,True,True
Blastoise (Mega),13,Blastoise (Mega),Mega Blastoise,Blastoise-Mega,True,True,True
Blaziken,385,Blaziken,Blaziken,Blaziken,True,True,True
Blaziken (Mega),1429,Blaziken (Mega),Mega Blaziken,Blaziken-Mega,True,True,True
Blipbug,1485,Blipbug,Blipbug,Blipbug,True,True,True
Blissey,366,Blissey,Blissey,Blissey,True,True,True
Blitzle,856,Blitzle,Blitzle,Blitzle,True,True,True
Boldore,859,Boldore,Boldore,Boldore,True,True,True
Boltund,1497,Boltund,Boltund,Boltund,True,True,True
Bombirdier,1728,Bombirdier,,Bombirdier,True,False,True
Bonsly,636,Bonsly,Bonsly,Bonsly,True,True,True
Bouffalant,1000,Bouffalant,Bouffalant,Bouffalant,True,True,True
Bounsweet,1289,Bounsweet,Bounsweet,Bounsweet,True,True,True
Braixen,1070,Braixen,Braixen,Braixen,True,True,True
Brambleghast,1703,Brambleghast,,Brambleghast,True,False,True
Bramblin,1702,Bramblin,,Bramblin,True,False,True
Braviary,1002,Braviary,Braviary,Braviary,True,True,True
Braviary (Hisuian),1614,Braviary (Hisui),,Braviary-Hisui,True,False,True
Breloom,414,Breloom,Breloom,Breloom,True,True,True
Brionne,1253,Brionne,Brionne,Brionne,True,True,True
Bronzong,635,Bronzong,Bronzong,Bronzong,True,True,True
Bronzor,634,Bronzor,Bronzor,Bronzor,True,True,True
Brute Bonnet,1732,Brute Bonnet,,,True,False,False
Brute-Bonnet,,,,Brute-Bonnet,False,False,True
Bruxish,1307,Bruxish,Bruxish,Bruxish,True,True,True
Budew,604,Budew,Budew,Budew,True,True,True
Buizel,616,Buizel,Buizel,Buizel,True,True,True
Bulbasaur,1,Bulbasaur,Bulbasaur,Bulbasaur,True,True,True
Buneary,625,Buneary,Buneary,Buneary,True,True,True
Bunnelby,1075,Bunnelby,Bunnelby,Bunnelby,True,True,True
Burmy,610,Burmy,Burmy,Burmy,True,True,True
Butterfree,24,Butterfree,Butterfree,Butterfree,True,True,True
Butterfree (Gigantamax),1521,Butterfree (Gigantamax),Gigantamax Butterfree,Butterfree-Gmax,True,True,True
Buzzwole,1324,Buzzwole,Buzzwole,Buzzwole,True,True,True
Cacnea,459,Cacnea,Cacnea,Cacnea,True,True,True
Cacturne,460,Cacturne,Cacturne,Cacturne,True,True,True
Calyrex,41,Calyrex,Calyrex,Calyrex,True,True,True
Calyrex-Ice,,,,Calyrex-Ice,False,False,True
Calyrex-Shadow,,,,Calyrex-Shadow,False,False,True
Camerupt,451,Camerupt,Camerupt,Camerupt,True,True,True
Camerupt (Mega),1588,Camerupt (Mega),Mega Camerupt,Camerupt-Mega,True,True,True
Capsakid,1687,Capsakid,,Capsakid,True,False,True
Carbink,1132,Carbink,Carbink,Carbink,True,True,True
Carkol,1499,Carkol,Carkol,Carkol,True,True,True
Carnivine,653,Carnivine,Carnivine,Carnivine,True,True,True
Carracosta,919,Carracosta,Carracosta,Carracosta,True,True,True
Carvanha,446,Carvanha,Carvanha,Carvanha,True,True,True
Cascoon,396,Cascoon,Cascoon,Cascoon,True,True,True
Castform,479,Castform,Castform,Castform,True,True,True
Castform-Rainy,,,,Castform-Rainy,False,False,True
Castform-Snowy,,,,Castform-Snowy,False,False,True
Castform-Sunny,,,,Castform-Sunny,False,False,True
Caterpie,32,Caterpie,Caterpie,Caterpie,True,True,True
Celebi,375,Celebi,Celebi,Celebi,True,True,True
Celesteela,1327,Celesteela,Celesteela,Celesteela,True,True,True
Centiskorch,1510,Centiskorch,Centiskorch,Centiskorch,True,True,True
Centiskorch (Gigantamax),1535,Centiskorch (Gigantamax),Gigantamax Centiskorch,Centiskorch-Gmax,True,True,True
Ceruledge,1659,Ceruledge,,Ceruledge,True,False,True
Cetitan,1652,Cetitan,,Cetitan,True,False,True
Cetoddle,1689,Cetoddle,,Cetoddle,True,False,True
Chandelure,981,Chandelure,Chandelure,Chandelure,True,True,True
Chandelure (Mega),,,,Chandelure-Mega,False,False,True
Chansey,147,Chansey,Chansey,Chansey,True,True,True
Charcadet,1668,Charcadet,,Charcadet,True,False,True
Charizard,7,Charizard,Charizard,Charizard,True,True,True
Charizard (Gigantamax),1522,Charizard (Gigantamax),Gigantamax Charizard,Charizard-Gmax,True,True,True
Charizard (Mega) X,8,Charizard (Mega X),Mega Charizard X,Charizard-Mega-X,True,True,True
Charizard (Mega) Y,9,Charizard (Mega Y),Mega Charizard Y,Charizard-Mega-Y,True,True,True
Charjabug,1262,Charjabug,Charjabug,Charjabug,True,True,True
Charmander,5,Charmander,Charmander,Charmander,True,True,True
Charmeleon,6,Charmeleon,Charmeleon,Charmeleon,True,True,True
Chatot,639,Chatot,Chatot,Chatot,True,True,True
Cherrim,619,Cherrim,Cherrim,Cherrim,True,True,True
Cherubi,618,Cherubi,Cherubi,Cherubi,True,True,True
Chesnaught,1068,Chesnaught,Chesnaught,Chesnaught,True,True,True
Chesnaught (Mega),,,,Chesnaught-Mega,False,False,True
Chespin,1066,Chespin,Chespin,Chespin,True,True,True
Chewtle,1494,Chewtle,Chewtle,Chewtle,True,True,True
Chi-Yu,1685,Chi-Yu,,Chi-Yu,True,False,True
Chien-Pao,1683,Chien-Pao,,Chien-Pao,True,False,True
Chikorita,245,Chikorita,Chikorita,Chikorita,True,True,True
Chimchar,34,Chimchar,Chimchar,Chimchar,True,True,True
Chimecho,486,Chimecho,Chimecho,Chimecho,True,True,True
Chimecho (Mega),,,,Chimecho-Mega,False,False,True
Chinchou,262,Chinchou,Chinchou,Chinchou,True,True,True
Chingling,631,Chingling,Chingling,Chingling,True,True,True
Cinccino,942,Cinccino,Cinccino,Cinccino,True,True,True
Cinderace,1444,Cinderace,Cinderace,Cinderace,True,True,True
Cinderace (Gigantamax),1528,Cinderace (Gigantamax),Gigantamax Cinderace,Cinderace-Gmax,True,True,True
Clamperl,494,Clamperl,Clamperl,Clamperl,True,True,True
Clauncher,1112,Clauncher,Clauncher,Clauncher,True,True,True
Clawitzer,1113,Clawitzer,Clawitzer,Clawitzer,True,True,True
Claydol,472,Claydol,Claydol,Claydol,True,True,True
Clefable,53,Clefable,Clefable,Clefable,True,True,True
Clefable (Mega),,,,Clefable-Mega,False,False,True
Clefairy,52,Clefairy,Clefairy,Clefairy,True,True,True
Cleffa,51,Cleffa,Cleffa,Cleffa,True,True,True
Clobbopus,1511,Clobbopus,Clobbopus,Clobbopus,True,True,True
Clodsire,1679,Clodsire,,Clodsire,True,False,True
Cloyster,1350,Cloyster,Cloyster,Cloyster,True,True,True
Coalossal,1500,Coalossal,Coalossal,Coalossal,True,True,True
Coalossal (Gigantamax),1541,Coalossal (Gigantamax),Gigantamax Coalossal,Coalossal-Gmax,True,True,True
Cobalion,1013,Cobalion,Cobalion,Cobalion,True,True,True
Cofagrigus,917,Cofagrigus,Cofagrigus,Cofagrigus,True,True,True
Combee,613,Combee,Combee,Combee,True,True,True
Combusken,384,Combusken,Combusken,Combusken,True,True,True
Comfey,1292,Comfey,Comfey,Comfey,True,True,True
Conkeldurr,868,Conkeldurr,Conkeldurr,Conkeldurr,True,True,True
Copperajah,1476,Copperajah,Copperajah,Copperajah,True,True,True
Copperajah (Gigantamax),1531,Copperajah (Gigantamax),Gigantamax Copperajah,Copperajah-Gmax,True,True,True
Corphish,469,Corphish,Corphish,Corphish,True,True,True
Corsola,346,Corsola,Corsola,Corsola,True,True,True
Corsola (Galarian),1389,Corsola (Galar),Galarian Corsola,Corsola-Galar,True,True,True
Corviknight,1471,Corviknight,Corviknight,Corviknight,True,True,True
Corviknight (Gigantamax),1544,Corviknight (Gigantamax),Gigantamax Corviknight,Corviknight-Gmax,True,True,True
Corvisquire,1470,Corvisquire,Corvisquire,Corvisquire,True,True,True
Cosmoem,1320,Cosmoem,Cosmoem,Cosmoem,True,True,True
Cosmog,1318,Cosmog,Cosmog,Cosmog,True,True,True
Cottonee,880,Cottonee,Cottonee,Cottonee,True,True,True
Crabominable,1266,Crabominable,Crabominable,Crabominable,True,True,True
Crabominable (Mega),,,,Crabominable-Mega,False,False,True
Crabrawler,1264,Crabrawler,Crabrawler,Crabrawler,True,True,True
Cradily,474,Cradily,Cradily,Cradily,True,True,True
Cramorant,1506,Cramorant,Cramorant,Cramorant,True,True,True
Cramorant-Gorging,,,,Cramorant-Gorging,False,False,True
Cramorant-Gulping,,,,Cramorant-Gulping,False,False,True
Cranidos,606,Cranidos,Cranidos,Cranidos,True,True,True
Crawdaunt,470,Crawdaunt,Crawdaunt,Crawdaunt,True,True,True
Cresselia,738,Cresselia,Cresselia,Cresselia,True,True,True
Croagunk,651,Croagunk,Croagunk,Croagunk,True,True,True
Crobat,63,Crobat,Crobat,Crobat,True,True,True
Crocalor,1669,Crocalor,,Crocalor,True,False,True
Croconaw,252,Croconaw,Croconaw,Croconaw,True,True,True
Crustle,893,Crustle,Crustle,Crustle,True,True,True
Cryogonal,988,Cryogonal,Cryogonal,Cryogonal,True,True,True
Cubchoo,986,Cubchoo,Cubchoo,Cubchoo,True,True,True
Cubone,138,Cubone,Cubone,Cubone,True,True,True
Cufant,1475,Cufant,Cufant,Cufant,True,True,True
Cursola,1390,Cursola,Cursola,Cursola,True,True,True
Cutiefly,1268,Cutiefly,Cutiefly,Cutiefly,True,True,True
Cyclizar,1655,Cyclizar,,Cyclizar,True,False,True
Cyndaquil,248,Cyndaquil,Cyndaquil,Cyndaquil,True,True,True
Dachsbun,1710,Dachsbun,,Dachsbun,True,False,True
Dada Zarude,,,Dada Zarude,,False,True,False
Darkrai,739,Darkrai,Darkrai,Darkrai,True,True,True
Darkrai (Mega),,,,Darkrai-Mega,False,False,True
Darmanitan,890,Darmanitan,,,True,False,False
Darmanitan (Galarian),1555,Darmanitan (Galar),,,True,False,False
Darmanitan Standard Mode,,,Darmanitan Standard Mode,,False,True,False
Darmanitan Standard Mode (Galarian),,,Galarian Darmanitan Standard Mode,,False,True,False
Darmanitan Zen Mode,,,Darmanitan Zen Mode,,False,True,False
Darmanitan Zen Mode (Galarian),,,Galarian Darmanitan Zen Mode,,False,True,False
Darmanitan-Galar-Standard,,,,Darmanitan-Galar-Standard,False,False,True
Darmanitan-Galar-Zen,,,,Darmanitan-Galar-Zen,False,False,True
Darmanitan-Standard,,,,Darmanitan-Standard,False,False,True
Darmanitan-Zen,,,,Darmanitan-Zen,False,False,True
Dartrix,1247,Dartrix,Dartrix,Dartrix,True,True,True
Darumaka,889,Darumaka,Darumaka,Darumaka,True,True,True
Darumaka (Galarian),1557,Darumaka (Galar),Galarian Darumaka,Darumaka-Galar,True,True,True
Dawn Wings Necrozma,,,Dawn Wings Necrozma,,False,True,False
Decidueye,1248,Decidueye,Decidueye,Decidueye,True,True,True
Decidueye (Hisuian),1627,Decidueye (Hisui),,Decidueye-Hisui,True,False,True
Dedenne,1131,Dedenne,Dedenne,Dedenne,True,True,True
Deerling,955,Deerling,Deerling,Deerling,True,True,True
Deino,1008,Deino,Deino,Deino,True,True,True
Delcatty,429,Delcatty,Delcatty,Delcatty,True,True,True
Delibird,349,Delibird,Delibird,Delibird,True,True,True
Delphox,1071,Delphox,Delphox,Delphox,True,True,True
Delphox (Mega),,,,Delphox-Mega,False,False,True
Deoxys,514,Deoxys,,,True,False,False
Deoxys Attack Forme,,,Deoxys Attack Forme,,False,True,False
Deoxys Defense Forme,,,Deoxys Defense Forme,,False,True,False
Deoxys Normal Forme,,,Deoxys Normal Forme,,False,True,False
Deoxys Speed Forme,,,Deoxys Speed Forme,,False,True,False
Deoxys-Attack,,,,Deoxys-Attack,False,False,True
Deoxys-Defense,,,,Deoxys-Defense,False,False,True
Deoxys-Normal,,,,Deoxys-Normal,False,False,True
Deoxys-Speed,,,,Deoxys-Speed,False,False,True
Dewgong,1346,Dewgong,Dewgong,Dewgong,True,True,True
Dewott,836,Dewott,Dewott,Dewott,True,True,True
Dewpider,1278,Dewpider,Dewpider,Dewpider,True,True,True
Dhelmise,1310,Dhelmise,Dhelmise,Dhelmise,True,True,True
Dialga,733,Dialga,Dialga,Dialga,True,True,True
Dialga-Origin,,,,Dialga-Origin,False,False,True
Diancie,1149,Diancie,Diancie,Diancie,True,True,True
Diancie (Mega),1594,Diancie (Mega),Mega Diancie,Diancie-Mega,True,True,True
Diggersby,1077,Diggersby,Diggersby,Diggersby,True,True,True
Diglett,72,Diglett,Diglett,Diglett,True,True,True
Diglett (Alolan),74,Diglett (Alola),Alolan Diglett,Diglett-Alola,True,True,True
Dipplin,1870,Dipplin,,Dipplin,True,False,True
Ditto,29,Ditto,Ditto,Ditto,True,True,True
Dodrio,1344,Dodrio,Dodrio,Dodrio,True,True,True
Doduo,1343,Doduo,Doduo,Doduo,True,True,True
Dolliv,1696,Dolliv,,Dolliv,True,False,True
Dondozo,1705,Dondozo,,Dondozo,True,False,True
Donphan,356,Donphan,Donphan,Donphan,True,True,True
Dottler,1486,Dottler,Dottler,Dottler,True,True,True
Doublade,26,Doublade,Doublade,Doublade,True,True,True
Dracovish,1419,Dracovish,Dracovish,Dracovish,True,True,True
Dracozolt,1418,Dracozolt,Dracozolt,Dracozolt,True,True,True
Dragalge,1111,Dragalge,Dragalge,Dragalge,True,True,True
Dragalge (Mega),,,,Dragalge-Mega,False,False,True
Dragapult,1474,Dragapult,Dragapult,Dragapult,True,True,True
Dragonair,243,Dragonair,Dragonair,Dragonair,True,True,True
Dragonite,244,Dragonite,Dragonite,Dragonite,True,True,True
Dragonite (Mega),,,,Dragonite-Mega,False,False,True
Drakloak,1473,Drakloak,Drakloak,Drakloak,True,True,True
Drampa,1309,Drampa,Drampa,Drampa,True,True,True
Drampa (Mega),,,,Drampa-Mega,False,False,True
Drapion,650,Drapion,Drapion,Drapion,True,True,True
Dratini,242,Dratini,Dratini,Dratini,True,True,True
Drednaw,1495,Drednaw,Drednaw,Drednaw,True,True,True
Drednaw (Gigantamax),1542,Drednaw (Gigantamax),Gigantamax Drednaw,Drednaw-Gmax,True,True,True
Dreepy,1472,Dreepy,Dreepy,Dreepy,True,True,True
Drifblim,624,Drifblim,Drifblim,Drifblim,True,True,True
Drifloon,623,Drifloon,Drifloon,Drifloon,True,True,True
Drilbur,863,Drilbur,Drilbur,Drilbur,True,True,True
Drizzile,1446,Drizzile,Drizzile,Drizzile,True,True,True
Drowzee,1355,Drowzee,Drowzee,Drowzee,True,True,True
Druddigon,995,Druddigon,Druddigon,Druddigon,True,True,True
Dubwool,1493,Dubwool,Dubwool,Dubwool,True,True,True
Ducklett,950,Ducklett,Ducklett,Ducklett,True,True,True
Dudunsparce,1690,Dudunsparce,,,True,False,False
Dudunsparce-Three-Segment,,,,Dudunsparce-Three-Segment,False,False,True
Dudunsparce-Two-Segment,,,,Dudunsparce-Two-Segment,False,False,True
Dugtrio,73,Dugtrio,Dugtrio,Dugtrio,True,True,True
Dugtrio (Alolan),75,Dugtrio (Alola),Alolan Dugtrio,Dugtrio-Alola,True,True,True
Dunsparce,330,Dunsparce,Dunsparce,Dunsparce,True,True,True
Duosion,947,Duosion,Duosion,Duosion,True,True,True
Duraludon,1424,Duraludon,Duraludon,Duraludon,True,True,True
Duraludon (Gigantamax),1530,Duraludon (Gigantamax),Gigantamax Duraludon,Duraludon-Gmax,True,True,True
Durant,1007,Durant,Durant,Durant,True,True,True
Dusclops,484,Dusclops,Dusclops,Dusclops,True,True,True
Dusk Mane Necrozma,,,Dusk Mane Necrozma,,False,True,False
Dusknoir,727,Dusknoir,Dusknoir,Dusknoir,True,True,True
Duskull,483,Duskull,Duskull,Duskull,True,True,True
Dustox,397,Dustox,Dustox,Dustox,True,True,True
Dwebble,892,Dwebble,Dwebble,Dwebble,True,True,True
Eelektrik,975,Eelektrik,Eelektrik,Eelektrik,True,True,True
Eelektross,976,Eelektross,Eelektross,Eelektross,True,True,True
Eelektross (Mega),,,,Eelektross-Mega,False,False,True
Eevee,228,Eevee,Eevee,Eevee,True,True,True
Eevee (Gigantamax),1546,Eevee (Gigantamax),Gigantamax Eevee,Eevee-Gmax,True,True,True
Eevee-Starter,,,,Eevee-Starter,False,False,True
Eiscue,1479,Eiscue,,,True,False,False
Eiscue Ice Face,,,Eiscue Ice Face,,False,True,False
Eiscue Noice Face,,,Eiscue Noice Face,,False,True,False
Eiscue-Ice,,,,Eiscue-Ice,False,False,True
Eiscue-Noice,,,,Eiscue-Noice,False,False,True
Ekans,86,Ekans,Ekans,Ekans,True,True,True
Eldegoss,1491,Eldegoss,Eldegoss,Eldegoss,True,True,True
Electabuzz,221,Electabuzz,Electabuzz,Electabuzz,True,True,True
Electivire,688,Electivire,Electivire,Electivire,True,True,True
Electrike,437,Electrike,Electrike,Electrike,True,True,True
Electrode,105,Electrode,Electrode,Electrode,True,True,True
Electrode (Hisuian),1632,Electrode (Hisui),,Electrode-Hisui,True,False,True
Elekid,363,Elekid,Elekid,Elekid,True,True,True
Elgyem,977,Elgyem,Elgyem,Elgyem,True,True,True
Emboar,834,Emboar,Emboar,Emboar,True,True,True
Emboar (Mega),,,,Emboar-Mega,False,False,True
Emolga,957,Emolga,Emolga,Emolga,True,True,True
Empoleon,596,Empoleon,Empoleon,Empoleon,True,True,True
Enamorus,1635,Enamorus,,,True,False,False
Enamorus-Incarnate,,,,Enamorus-Incarnate,False,False,True
Enamorus-Therian,,,,Enamorus-Therian,False,False,True
Entei,368,Entei,Entei,Entei,True,True,True
Escavalier,959,Escavalier,Escavalier,Escavalier,True,True,True
Espathra,1717,Espathra,,Espathra,True,False,True
Espeon,296,Espeon,Espeon,Espeon,True,True,True
Espurr,1095,Espurr,Espurr,Espurr,True,True,True
Eternamax Eternatus,,,Eternamax Eternatus,,False,True,False
Eternatus,1452,Eternatus,Eternatus,Eternatus,True,True,True
Eternatus-Eternamax,,,,Eternatus-Eternamax,False,False,True
Excadrill,864,Excadrill,Excadrill,Excadrill,True,True,True
Excadrill (Mega),,,,Excadrill-Mega,False,False,True
Exeggcute,136,Exeggcute,Exeggcute,Exeggcute,True,True,True
Exeggutor,137,Exeggutor,Exeggutor,Exeggutor,True,True,True
Exeggutor (Alolan),1359,Exeggutor (Alola),Alolan Exeggutor,Exeggutor-Alola,True,True,True
Exploud,423,Exploud,Exploud,Exploud,True,True,True
Falinks,1378,Falinks,Falinks,Falinks,True,True,True
Falinks (Mega),,,,Falinks-Mega,False,False,True
Fan Rotom,,,Fan Rotom,,False,True,False
Farfetch'd,1342,Farfetch'd,Farfetch'd,,True,True,False
Farfetch'd (Galarian),1369,Farfetch'd (Galar),,,True,False,False
Farfetchd,,,,Farfetchd,False,False,True
Farfetchd (Galarian),,,,Farfetchd-Galar,False,False,True
Farfetched (Galarian),,,Galarian Farfetched,,False,True,False
Farigiraf,1661,Farigiraf,,Farigiraf,True,False,True
Fearow,85,Fearow,Fearow,Fearow,True,True,True
Feebas,477,Feebas,Feebas,Feebas,True,True,True
Fennekin,1069,Fennekin,Fennekin,Fennekin,True,True,True
Feraligatr,253,Feraligatr,Feraligatr,Feraligatr,True,True,True
Feraligatr (Mega),,,,Feraligatr-Mega,False,False,True
Ferroseed,968,Ferroseed,Ferroseed,Ferroseed,True,True,True
Ferrothorn,969,Ferrothorn,Ferrothorn,Ferrothorn,True,True,True
Fezandipiti,1766,Fezandipiti,,Fezandipiti,True,False,True
Fidough,1653,Fidough,,Fidough,True,False,True
Finizen,1693,Finizen,,Finizen,True,False,True
Finneon,654,Finneon,Finneon,Finneon,True,True,True
Flaaffy,279,Flaaffy,Flaaffy,Flaaffy,True,True,True
Flabebe,,,,Flabebe,False,False,True
Flabébé,1086,Flabébé,Flabébé,,True,True,False
Flamigo,1738,Flamigo,,Flamigo,True,False,True
Flapple,1502,Flapple,Flapple,Flapple,True,True,True
Flapple (Gigantamax),1540,Flapple (Gigantamax),Gigantamax Flapple,Flapple-Gmax,True,True,True
Flareon,231,Flareon,Flareon,Flareon,True,True,True
Fletchinder,1079,Fletchinder,Fletchinder,Fletchinder,True,True,True
Fletchling,1078,Fletchling,Fletchling,Fletchling,True,True,True
Flittle,1716,Flittle,,Flittle,True,False,True
Floatzel,617,Floatzel,Floatzel,Floatzel,True,True,True
Floette,1088,Floette,Floette,Floette,True,True,True
Floette (Mega),,,,Floette-Mega,False,False,True
Floette-Eternal,,,,Floette-Eternal,False,False,True
Floragato,1666,Floragato,,Floragato,True,False,True
Florges,1089,Florges,Florges,Florges,True,True,True
Flutter Mane,1740,Flutter Mane,,,True,False,False
Flutter-Mane,,,,Flutter-Mane,False,False,True
Flygon,458,Flygon,Flygon,Flygon,True,True,True
Fomantis,1280,Fomantis,Fomantis,Fomantis,True,True,True
Foongus,961,Foongus,Foongus,Foongus,True,True,True
Forretress,329,Forretress,Forretress,Forretress,True,True,True
Fraxure,984,Fraxure,Fraxure,Fraxure,True,True,True
