region,game,role,gym_leader,gym_city,gym_type,source_location,min_level,max_level,method,pokemon,moves
Kanto,red,gym_leader,Brock,Pewter City,Rock,Route 2,5,5,walk,pidgey,"Gust, Sand Attack"
Kanto,blue,gym_leader,Brock,Pewter City,Rock,Route 2,3,3,walk,pidgey,Gust
Kanto,blue,gym_leader,Brock,Pewter City,Rock,Route 2,4,4,walk,pidgey,Gust
Kanto,blue,gym_leader,Brock,Pewter City,Rock,Route 2,5,5,walk,pidgey,"Gust, Sand Attack"
Kanto,yellow,gym_leader,Brock,Pewter City,Rock,Route 2,3,3,walk,pidgey,Gust
Kanto,yellow,gym_leader,Brock,Pewter City,Rock,Route 2,5,5,walk,pidgey,"Gust, Sand Attack"
Kanto,yellow,gym_leader,Brock,Pewter City,Rock,Route 2,7,7,walk,pidgey,"Gust, Sand Attack"
Kanto,yellow,gym_leader,Brock,Pewter City,Rock,Route 2,7,7,walk,pidgey,"Gust, Sand Attack"
Kanto,red,gym_leader,Brock,Pewter City,Rock,Route 3,6,6,walk,pidgey,"Gust, Sand Attack"
Kanto,red,gym_leader,Brock,Pewter City,Rock,Route 3,7,7,walk,pidgey,"Gust, Sand Attack"
Kanto,red,gym_leader,Brock,Pewter City,Rock,Route 3,8,8,walk,pidgey,"Gust, Sand Attack"
Kanto,blue,gym_leader,Brock,Pewter City,Rock,Route 3,6,6,walk,pidgey,"Gust, Sand Attack"
Kanto,blue,gym_leader,Brock,Pewter City,Rock,Route 3,7,7,walk,pidgey,"Gust, Sand Attack"
Kanto,blue,gym_leader,Brock,Pewter City,Rock,Route 3,8,8,walk,pidgey,"Gust, Sand Attack"
Kanto,red,gym_leader,Brock,Pewter City,Rock,Route 2,3,3,walk,rattata,"Tackle, Tail Whip"
Kanto,red,gym_leader,Brock,Pewter City,Rock,Route 2,4,4,walk,rattata,"Tackle, Tail Whip"
Kanto,red,gym_leader,Brock,Pewter City,Rock,Route 2,2,2,walk,rattata,"Tackle, Tail Whip"
Kanto,red,gym_leader,Brock,Pewter City,Rock,Route 2,5,5,walk,rattata,"Tackle, Tail Whip"
Kanto,blue,gym_leader,Brock,Pewter City,Rock,Route 2,3,3,walk,rattata,"Tackle, Tail Whip"
Kanto,blue,gym_leader,Brock,Pewter City,Rock,Route 2,4,4,walk,rattata,"Tackle, Tail Whip"
Kanto,blue,gym_leader,Brock,Pewter City,Rock,Route 2,2,2,walk,rattata,"Tackle, Tail Whip"
Kanto,blue,gym_leader,Brock,Pewter City,Rock,Route 2,5,5,walk,rattata,"Tackle, Tail Whip"
Kanto,yellow,gym_leader,Brock,Pewter City,Rock,Route 2,3,3,walk,rattata,"Tackle, Tail Whip"
Kanto,yellow,gym_leader,Brock,Pewter City,Rock,Route 2,4,4,walk,rattata,"Tackle, Tail Whip"
Kanto,yellow,gym_leader,Brock,Pewter City,Rock,Route 3,10,10,walk,rattata,"Tackle, Tail Whip, Quick Attack"
Kanto,yellow,gym_leader,Brock,Pewter City,Rock,Route 3,12,12,walk,rattata,"Tackle, Tail Whip, Quick Attack"
Kanto,yellow,gym_leader,Brock,Pewter City,Rock,Route 3,8,8,walk,sandshrew,Scratch
Kanto,yellow,gym_leader,Brock,Pewter City,Rock,Route 3,10,10,walk,sandshrew,"Scratch, Sand Attack"
Kanto,red,gym_leader,Brock,Pewter City,Rock,Route 3,5,5,walk,spearow,"Growl, Peck"
Kanto,red,gym_leader,Brock,Pewter City,Rock,Route 3,6,6,walk,spearow,"Growl, Peck"
Kanto,red,gym_leader,Brock,Pewter City,Rock,Route 3,7,7,walk,spearow,"Growl, Peck"
Kanto,red,gym_leader,Brock,Pewter City,Rock,Route 3,8,8,walk,spearow,"Growl, Peck"
Kanto,blue,gym_leader,Brock,Pewter City,Rock,Route 3,5,5,walk,spearow,"Growl, Peck"
Kanto,blue,gym_leader,Brock,Pewter City,Rock,Route 3,6,6,walk,spearow,"Growl, Peck"
Kanto,blue,gym_leader,Brock,Pewter City,Rock,Route 3,7,7,walk,spearow,"Growl, Peck"
Kanto,blue,gym_leader,Brock,Pewter City,Rock,Route 3,8,8,walk,spearow,"Growl, Peck"
Kanto,yellow,gym_leader,Brock,Pewter City,Rock,Route 3,8,8,walk,spearow,"Growl, Peck"
Kanto,yellow,gym_leader,Brock,Pewter City,Rock,Route 3,9,9,walk,spearow,"Growl, Peck, Leer"
Kanto,yellow,gym_leader,Brock,Pewter City,Rock,Route 3,10,10,walk,spearow,"Growl, Peck, Leer"
Kanto,yellow,gym_leader,Brock,Pewter City,Rock,Route 3,11,11,walk,spearow,"Growl, Peck, Leer"
Kanto,yellow,gym_leader,Brock,Pewter City,Rock,Route 3,12,12,walk,spearow,"Growl, Peck, Leer"
Kanto,red,gym_leader,Brock,Pewter City,Rock,Route 2,3,3,walk,weedle,"Poison Sting, String Shot"
Kanto,red,gym_leader,Brock,Pewter City,Rock,Route 2,4,4,walk,weedle,"Poison Sting, String Shot"
Kanto,red,gym_leader,Brock,Pewter City,Rock,Route 2,5,5,walk,weedle,"Poison Sting, String Shot"
Kanto,firered,gym_leader,Brock,Pewter City,Rock,Route 2,4,4,walk,caterpie,"Tackle, String Shot"
Kanto,firered,gym_leader,Brock,Pewter City,Rock,Route 2,5,5,walk,caterpie,"Tackle, String Shot"
Kanto,leafgreen,gym_leader,Brock,Pewter City,Rock,Route 2,4,4,walk,caterpie,"Tackle, String Shot"
Kanto,leafgreen,gym_leader,Brock,Pewter City,Rock,Route 2,5,5,walk,caterpie,"Tackle, String Shot"
Kanto,firered,gym_leader,Brock,Pewter City,Rock,Route 3,3,3,walk,jigglypuff,Sing
Kanto,firered,gym_leader,Brock,Pewter City,Rock,Route 3,5,5,walk,jigglypuff,"Sing, Defense Curl"
Kanto,firered,gym_leader,Brock,Pewter City,Rock,Route 3,7,7,walk,jigglypuff,"Sing, Defense Curl"
Kanto,leafgreen,gym_leader,Brock,Pewter City,Rock,Route 3,3,3,walk,jigglypuff,Sing
Kanto,leafgreen,gym_leader,Brock,Pewter City,Rock,Route 3,5,5,walk,jigglypuff,"Sing, Defense Curl"
Kanto,leafgreen,gym_leader,Brock,Pewter City,Rock,Route 3,7,7,walk,jigglypuff,"Sing, Defense Curl"
Kanto,firered,gym_leader,Brock,Pewter City,Rock,Route 3,5,5,gift,magikarp,Splash
Kanto,leafgreen,gym_leader,Brock,Pewter City,Rock,Route 3,5,5,gift,magikarp,Splash
Kanto,firered,gym_leader,Brock,Pewter City,Rock,Route 3,7,7,walk,mankey,"Scratch, Leer, Low Kick"
Kanto,leafgreen,gym_leader,Brock,Pewter City,Rock,Route 3,7,7,walk,mankey,"Scratch, Leer, Low Kick"
Kanto,firered,gym_leader,Brock,Pewter City,Rock,Route 2,5,100,npc-trade,mr. mime,"Barrier, Confusion"
Kanto,leafgreen,gym_leader,Brock,Pewter City,Rock,Route 2,5,100,npc-trade,mr. mime,"Barrier, Confusion"
Kanto,firered,gym_leader,Brock,Pewter City,Rock,Route 3,6,6,walk,nidoran (female),"Scratch, Growl"
Kanto,leafgreen,gym_leader,Brock,Pewter City,Rock,Route 3,6,6,walk,nidoran (female),"Scratch, Growl"
Kanto,leafgreen,gym_leader,Brock,Pewter City,Rock,Route 3,7,7,walk,nidoran (female),"Scratch, Growl"
Kanto,firered,gym_leader,Brock,Pewter City,Rock,Route 3,6,6,walk,nidoran (male),"Leer, Peck"
Kanto,firered,gym_leader,Brock,Pewter City,Rock,Route 3,7,7,walk,nidoran (male),"Leer, Peck"
Kanto,leafgreen,gym_leader,Brock,Pewter City,Rock,Route 3,6,6,walk,nidoran (male),"Leer, Peck"
Kanto,firered,gym_leader,Brock,Pewter City,Rock,Route 2,3,3,walk,pidgey,Tackle
Kanto,firered,gym_leader,Brock,Pewter City,Rock,Route 2,4,4,walk,pidgey,Tackle
Kanto,firered,gym_leader,Brock,Pewter City,Rock,Route 2,2,2,walk,pidgey,Tackle
Kanto,firered,gym_leader,Brock,Pewter City,Rock,Route 2,5,5,walk,pidgey,"Tackle, Sand Attack"
Kanto,leafgreen,gym_leader,Brock,Pewter City,Rock,Route 2,3,3,walk,pidgey,Tackle
Kanto,leafgreen,gym_leader,Brock,Pewter City,Rock,Route 2,4,4,walk,pidgey,Tackle
Kanto,leafgreen,gym_leader,Brock,Pewter City,Rock,Route 2,2,2,walk,pidgey,Tackle
Kanto,leafgreen,gym_leader,Brock,Pewter City,Rock,Route 2,5,5,walk,pidgey,"Tackle, Sand Attack"
Kanto,firered,gym_leader,Brock,Pewter City,Rock,Route 3,6,6,walk,pidgey,"Tackle, Sand Attack"
Kanto,firered,gym_leader,Brock,Pewter City,Rock,Route 3,7,7,walk,pidgey,"Tackle, Sand Attack"
Kanto,leafgreen,gym_leader,Brock,Pewter City,Rock,Route 3,6,6,walk,pidgey,"Tackle, Sand Attack"
Kanto,leafgreen,gym_leader,Brock,Pewter City,Rock,Route 3,7,7,walk,pidgey,"Tackle, Sand Attack"
Kanto,firered,gym_leader,Brock,Pewter City,Rock,Route 2,3,3,walk,rattata,"Tackle, Tail Whip"
Kanto,firered,gym_leader,Brock,Pewter City,Rock,Route 2,4,4,walk,rattata,"Tackle, Tail Whip"
Kanto,firered,gym_leader,Brock,Pewter City,Rock,Route 2,2,2,walk,rattata,"Tackle, Tail Whip"
Kanto,firered,gym_leader,Brock,Pewter City,Rock,Route 2,5,5,walk,rattata,"Tackle, Tail Whip"
Kanto,leafgreen,gym_leader,Brock,Pewter City,Rock,Route 2,3,3,walk,rattata,"Tackle, Tail Whip"
Kanto,leafgreen,gym_leader,Brock,Pewter City,Rock,Route 2,4,4,walk,rattata,"Tackle, Tail Whip"
Kanto,leafgreen,gym_leader,Brock,Pewter City,Rock,Route 2,2,2,walk,rattata,"Tackle, Tail Whip"
Kanto,leafgreen,gym_leader,Brock,Pewter City,Rock,Route 2,5,5,walk,rattata,"Tackle, Tail Whip"
Kanto,firered,gym_leader,Brock,Pewter City,Rock,Route 3,6,6,walk,spearow,"Growl, Peck"
Kanto,firered,gym_leader,Brock,Pewter City,Rock,Route 3,7,7,walk,spearow,"Growl, Peck, Leer"
Kanto,firered,gym_leader,Brock,Pewter City,Rock,Route 3,8,8,walk,spearow,"Growl, Peck, Leer"
Kanto,leafgreen,gym_leader,Brock,Pewter City,Rock,Route 3,6,6,walk,spearow,"Growl, Peck"
Kanto,leafgreen,gym_leader,Brock,Pewter City,Rock,Route 3,7,7,walk,spearow,"Growl, Peck, Leer"
Kanto,leafgreen,gym_leader,Brock,Pewter City,Rock,Route 3,8,8,walk,spearow,"Growl, Peck, Leer"
Kanto,firered,gym_leader,Brock,Pewter City,Rock,Route 2,4,4,walk,weedle,"Poison Sting, String Shot"
Kanto,firered,gym_leader,Brock,Pewter City,Rock,Route 2,5,5,walk,weedle,"Poison Sting, String Shot"
Kanto,leafgreen,gym_leader,Brock,Pewter City,Rock,Route 2,4,4,walk,weedle,"Poison Sting, String Shot"
Kanto,leafgreen,gym_leader,Brock,Pewter City,Rock,Route 2,5,5,walk,weedle,"Poison Sting, String Shot"
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 5,7,7,walk,abra,Teleport
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 24,10,10,walk,abra,Teleport
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 24,8,8,walk,abra,Teleport
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 24,12,12,walk,abra,Teleport
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Route 24,10,10,walk,abra,Teleport
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Route 24,8,8,walk,abra,Teleport
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Route 24,12,12,walk,abra,Teleport
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Route 5,13,13,walk,bellsprout,"Vine Whip, Growth, Wrap"
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Route 5,15,15,walk,bellsprout,"Vine Whip, Growth, Wrap, Poison Powder"
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Route 5,16,16,walk,bellsprout,"Vine Whip, Growth, Wrap, Poison Powder"
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Route 24,12,12,walk,bellsprout,"Vine Whip, Growth"
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Route 24,13,13,walk,bellsprout,"Vine Whip, Growth, Wrap"
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Route 24,14,14,walk,bellsprout,"Vine Whip, Growth, Wrap"
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 24,12,12,walk,bellsprout,"Vine Whip, Growth"
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 24,14,14,walk,bellsprout,"Vine Whip, Growth, Wrap"
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Cerulean City,10,10,gift,bulbasaur,"Tackle, Growl, Leech Seed"
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Route 24,7,7,walk,caterpie,"Tackle, String Shot"
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 24,10,10,gift,charmander,"Scratch, Growl, Ember"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 4,6,6,walk,ekans,"Wrap, Leer"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 4,10,10,walk,ekans,"Wrap, Leer, Poison Sting"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 4,8,8,walk,ekans,"Wrap, Leer"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 4,12,12,walk,ekans,"Wrap, Leer, Poison Sting"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 9,11,11,walk,ekans,"Wrap, Leer, Poison Sting"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 9,15,15,walk,ekans,"Wrap, Leer, Poison Sting"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 9,13,13,walk,ekans,"Wrap, Leer, Poison Sting"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 9,17,17,walk,ekans,"Wrap, Leer, Poison Sting, Bite"
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 9,19,19,walk,fearow,"Growl, Peck, Leer, Fury Attack"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Cerulean City,10,10,good-rod,goldeen,"Tail Whip, Peck"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Cerulean City,15,15,super-rod,goldeen,"Tail Whip, Peck"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Cerulean City,15,15,super-rod,goldeen,"Tail Whip, Peck"
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Cerulean City,10,10,good-rod,goldeen,"Tail Whip, Peck"
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Cerulean City,15,15,super-rod,goldeen,"Tail Whip, Peck"
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Cerulean City,15,15,super-rod,goldeen,"Tail Whip, Peck"
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Cerulean City,10,10,good-rod,goldeen,"Tail Whip, Peck"
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Cerulean City,25,25,super-rod,goldeen,"Tail Whip, Peck, Supersonic, Horn Attack"
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Cerulean City,30,30,super-rod,goldeen,"Peck, Supersonic, Horn Attack, Fury Attack"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 24,10,10,good-rod,goldeen,"Tail Whip, Peck"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 24,15,15,super-rod,goldeen,"Tail Whip, Peck"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 24,15,15,super-rod,goldeen,"Tail Whip, Peck"
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Route 24,10,10,good-rod,goldeen,"Tail Whip, Peck"
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Route 24,15,15,super-rod,goldeen,"Tail Whip, Peck"
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Route 24,15,15,super-rod,goldeen,"Tail Whip, Peck"
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 24,10,10,good-rod,goldeen,"Tail Whip, Peck"
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 24,20,20,super-rod,goldeen,"Tail Whip, Peck, Supersonic"
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 24,25,25,super-rod,goldeen,"Tail Whip, Peck, Supersonic, Horn Attack"
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 24,30,30,super-rod,goldeen,"Peck, Supersonic, Horn Attack, Fury Attack"
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 5,3,3,walk,jigglypuff,Sing
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 5,5,5,walk,jigglypuff,Sing
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 5,7,7,walk,jigglypuff,Sing
Kanto,red,gym_leader,Misty,Cerulean City,Water,Cerulean City,23,100,npc-trade,jynx,"Pound, Lovely Kiss, Lick, Double Slap"
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Cerulean City,23,100,npc-trade,jynx,"Pound, Lovely Kiss, Lick, Double Slap"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 24,8,8,walk,kakuna,Harden
Kanto,red,gym_leader,Misty,Cerulean City,Water,Cerulean City,15,15,super-rod,krabby,"Leer, Bubble"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Cerulean City,15,15,super-rod,krabby,"Leer, Bubble"
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Cerulean City,15,15,super-rod,krabby,"Leer, Bubble"
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Cerulean City,15,15,super-rod,krabby,"Leer, Bubble"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 24,15,15,super-rod,krabby,"Leer, Bubble"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 24,15,15,super-rod,krabby,"Leer, Bubble"
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Route 24,15,15,super-rod,krabby,"Leer, Bubble"
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Route 24,15,15,super-rod,krabby,"Leer, Bubble"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Cerulean City,5,5,old-rod,magikarp,Splash
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Cerulean City,5,5,old-rod,magikarp,Splash
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Cerulean City,5,5,old-rod,magikarp,Splash
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 24,5,5,old-rod,magikarp,Splash
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Route 24,5,5,old-rod,magikarp,Splash
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 24,5,5,old-rod,magikarp,Splash
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 4,5,5,gift,magikarp,Splash
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Route 4,5,5,gift,magikarp,Splash
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 4,5,5,gift,magikarp,Splash
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 4,9,9,walk,mankey,"Scratch, Leer"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 5,10,10,walk,mankey,"Scratch, Leer"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 5,12,12,walk,mankey,"Scratch, Leer"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 5,14,14,walk,mankey,"Scratch, Leer"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 5,16,16,walk,mankey,"Scratch, Leer, Karate Chop"
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Route 5,10,10,walk,meowth,"Scratch, Growl"
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Route 5,12,12,walk,meowth,"Scratch, Growl, Bite"
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Route 5,14,14,walk,meowth,"Scratch, Growl, Bite"
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Route 5,16,16,walk,meowth,"Scratch, Growl, Bite"
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Route 24,8,8,walk,metapod,Harden
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 9,16,16,walk,nidoran (female),"Tackle, Growl, Scratch, Poison Sting"
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 9,18,18,walk,nidoran (female),"Tackle, Growl, Scratch, Poison Sting"
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 9,16,16,walk,nidoran (male),"Tackle, Leer, Horn Attack, Poison Sting"
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 9,18,18,walk,nidoran (male),"Tackle, Leer, Horn Attack, Poison Sting"
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 9,18,18,walk,nidorina,"Tackle, Growl, Scratch, Poison Sting"
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 9,18,18,walk,nidorino,"Tackle, Leer, Horn Attack, Poison Sting"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 5,13,13,walk,oddish,Absorb
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 5,15,15,walk,oddish,"Absorb, Poison Powder"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 5,16,16,walk,oddish,"Absorb, Poison Powder"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 24,12,12,walk,oddish,Absorb
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 24,13,13,walk,oddish,Absorb
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 24,14,14,walk,oddish,Absorb
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 24,12,12,walk,oddish,Absorb
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 24,14,14,walk,oddish,Absorb
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 5,17,17,walk,pidgeotto,"Gust, Sand Attack, Sand Attack, Quick Attack"
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 24,17,17,walk,pidgeotto,"Gust, Sand Attack, Sand Attack, Quick Attack"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 5,13,13,walk,pidgey,"Gust, Sand Attack, Quick Attack"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 5,15,15,walk,pidgey,"Gust, Sand Attack, Quick Attack"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 5,16,16,walk,pidgey,"Gust, Sand Attack, Quick Attack"
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Route 5,13,13,walk,pidgey,"Gust, Sand Attack, Quick Attack"
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Route 5,15,15,walk,pidgey,"Gust, Sand Attack, Quick Attack"
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Route 5,16,16,walk,pidgey,"Gust, Sand Attack, Quick Attack"
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 5,15,15,walk,pidgey,"Gust, Sand Attack, Quick Attack"
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 5,16,16,walk,pidgey,"Gust, Sand Attack, Quick Attack"
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 5,17,17,walk,pidgey,"Gust, Sand Attack, Quick Attack"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 24,12,12,walk,pidgey,"Gust, Sand Attack, Quick Attack"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 24,13,13,walk,pidgey,"Gust, Sand Attack, Quick Attack"
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Route 24,12,12,walk,pidgey,"Gust, Sand Attack, Quick Attack"
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Route 24,13,13,walk,pidgey,"Gust, Sand Attack, Quick Attack"
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 24,13,13,walk,pidgey,"Gust, Sand Attack, Quick Attack"
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 24,15,15,walk,pidgey,"Gust, Sand Attack, Quick Attack"
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 24,17,17,walk,pidgey,"Gust, Sand Attack, Quick Attack"
Kanto,red,gym_leader,Misty,Cerulean City,Water,Cerulean City,10,10,good-rod,poliwag,Bubble
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Cerulean City,10,10,good-rod,poliwag,Bubble
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Cerulean City,10,10,good-rod,poliwag,Bubble
Kanto,red,gym_leader,Misty,Cerulean City,Water,Route 24,10,10,good-rod,poliwag,Bubble
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Route 24,10,10,good-rod,poliwag,Bubble
Kanto,yellow,gym_leader,Misty,Cerulean City,Water,Route 24,10,10,good-rod,poliwag,Bubble
Kanto,red,gym_leader,Misty,Cerulean City,Water,Cerulean City,15,15,super-rod,psyduck,Scratch
Kanto,red,gym_leader,Misty,Cerulean City,Water,Cerulean City,15,15,super-rod,psyduck,Scratch
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Cerulean City,15,15,super-rod,psyduck,Scratch
Kanto,blue,gym_leader,Misty,Cerulean City,Water,Cerulean City,15,15,super-rod,psyduck,Scratch
