pokemon,generation,version_group,move,level_learned
caterpie,1,red-blue,tackle,1
caterpie,1,red-blue,string-shot,1
chansey,1,red-blue,pound,1
chansey,1,red-blue,double-slap,1
chansey,1,red-blue,sing,24
chansey,1,red-blue,growl,30
chansey,1,red-blue,minimize,38
chansey,1,red-blue,defense-curl,44
chansey,1,red-blue,light-screen,48
chansey,1,red-blue,double-edge,54
charizard,1,red-blue,scratch,1
charizard,1,red-blue,leer,1
charizard,1,red-blue,growl,1
charizard,1,red-blue,ember,1
charizard,1,red-blue,ember,9
charizard,1,red-blue,leer,15
charizard,1,red-blue,rage,24
charizard,1,red-blue,slash,36
charizard,1,red-blue,flamethrower,46
charizard,1,red-blue,fire-spin,55
charmander,1,red-blue,scratch,1
charmander,1,red-blue,growl,1
charmander,1,red-blue,ember,9
charmander,1,red-blue,leer,15
charmander,1,red-blue,rage,22
charmander,1,red-blue,slash,30
charmander,1,red-blue,flamethrower,38
charmander,1,red-blue,fire-spin,46
charmeleon,1,red-blue,scratch,1
charmeleon,1,red-blue,growl,1
charmeleon,1,red-blue,ember,1
charmeleon,1,red-blue,ember,9
charmeleon,1,red-blue,leer,15
charmeleon,1,red-blue,rage,24
charmeleon,1,red-blue,slash,33
charmeleon,1,red-blue,flamethrower,42
charmeleon,1,red-blue,fire-spin,56
clefable,1,red-blue,double-slap,1
clefable,1,red-blue,sing,1
clefable,1,red-blue,minimize,1
clefable,1,red-blue,metronome,1
clefairy,1,red-blue,pound,1
clefairy,1,red-blue,growl,1
clefairy,1,red-blue,sing,13
clefairy,1,red-blue,double-slap,18
clefairy,1,red-blue,minimize,24
clefairy,1,red-blue,metronome,31
clefairy,1,red-blue,defense-curl,39
clefairy,1,red-blue,light-screen,48
cloyster,1,red-blue,supersonic,1
cloyster,1,red-blue,aurora-beam,1
cloyster,1,red-blue,withdraw,1
cloyster,1,red-blue,clamp,1
cloyster,1,red-blue,spike-cannon,50
cubone,1,red-blue,growl,1
cubone,1,red-blue,bone-club,1
cubone,1,red-blue,leer,25
cubone,1,red-blue,focus-energy,31
cubone,1,red-blue,thrash,38
cubone,1,red-blue,bonemerang,43
cubone,1,red-blue,rage,46
dewgong,1,red-blue,headbutt,1
dewgong,1,red-blue,growl,1
dewgong,1,red-blue,aurora-beam,1
dewgong,1,red-blue,growl,30
dewgong,1,red-blue,aurora-beam,35
dewgong,1,red-blue,rest,44
dewgong,1,red-blue,take-down,50
dewgong,1,red-blue,ice-beam,56
diglett,1,red-blue,scratch,1
diglett,1,red-blue,growl,15
diglett,1,red-blue,dig,19
diglett,1,red-blue,sand-attack,24
diglett,1,red-blue,slash,31
diglett,1,red-blue,earthquake,40
ditto,1,red-blue,transform,1
dodrio,1,red-blue,fury-attack,1
dodrio,1,red-blue,growl,1
dodrio,1,red-blue,peck,1
dodrio,1,red-blue,growl,20
dodrio,1,red-blue,fury-attack,24
dodrio,1,red-blue,drill-peck,30
dodrio,1,red-blue,rage,39
dodrio,1,red-blue,tri-attack,45
dodrio,1,red-blue,agility,51
doduo,1,red-blue,peck,1
doduo,1,red-blue,growl,20
doduo,1,red-blue,fury-attack,24
doduo,1,red-blue,drill-peck,30
doduo,1,red-blue,rage,36
doduo,1,red-blue,tri-attack,40
doduo,1,red-blue,agility,44
dragonair,1,red-blue,wrap,1
dragonair,1,red-blue,leer,1
dragonair,1,red-blue,thunder-wave,1
dragonair,1,red-blue,thunder-wave,10
dragonair,1,red-blue,agility,20
dragonair,1,red-blue,slam,35
dragonair,1,red-blue,dragon-rage,45
dragonair,1,red-blue,hyper-beam,55
dragonite,1,red-blue,wrap,1
dragonite,1,red-blue,leer,1
dragonite,1,red-blue,thunder-wave,1
dragonite,1,red-blue,agility,1
dragonite,1,red-blue,thunder-wave,10
dragonite,1,red-blue,agility,20
dragonite,1,red-blue,slam,35
dragonite,1,red-blue,dragon-rage,45
dragonite,1,red-blue,hyper-beam,60
dratini,1,red-blue,wrap,1
dratini,1,red-blue,leer,1
dratini,1,red-blue,thunder-wave,10
dratini,1,red-blue,agility,20
dratini,1,red-blue,slam,30
dratini,1,red-blue,dragon-rage,40
dratini,1,red-blue,hyper-beam,50
drowzee,1,red-blue,pound,1
drowzee,1,red-blue,hypnosis,1
drowzee,1,red-blue,disable,12
drowzee,1,red-blue,confusion,17
drowzee,1,red-blue,headbutt,24
drowzee,1,red-blue,poison-gas,29
drowzee,1,red-blue,psychic,32
drowzee,1,red-blue,meditate,37
dugtrio,1,red-blue,scratch,1
dugtrio,1,red-blue,growl,1
dugtrio,1,red-blue,dig,1
dugtrio,1,red-blue,growl,15
dugtrio,1,red-blue,dig,19
dugtrio,1,red-blue,sand-attack,24
dugtrio,1,red-blue,slash,35
dugtrio,1,red-blue,earthquake,47
eevee,1,red-blue,sand-attack,1
eevee,1,red-blue,tackle,1
eevee,1,red-blue,quick-attack,27
eevee,1,red-blue,tail-whip,31
eevee,1,red-blue,bite,37
eevee,1,red-blue,take-down,45
ekans,1,red-blue,wrap,1
ekans,1,red-blue,leer,1
ekans,1,red-blue,poison-sting,10
ekans,1,red-blue,bite,17
ekans,1,red-blue,glare,24
ekans,1,red-blue,screech,31
ekans,1,red-blue,acid,38
electabuzz,1,red-blue,leer,1
electabuzz,1,red-blue,quick-attack,1
electabuzz,1,red-blue,thunder-shock,34
electabuzz,1,red-blue,screech,37
electabuzz,1,red-blue,thunder-punch,42
electabuzz,1,red-blue,light-screen,49
electabuzz,1,red-blue,thunder,54
electrode,1,red-blue,tackle,1
electrode,1,red-blue,sonic-boom,1
electrode,1,red-blue,screech,1
electrode,1,red-blue,sonic-boom,17
electrode,1,red-blue,self-destruct,22
electrode,1,red-blue,light-screen,29
electrode,1,red-blue,swift,40
electrode,1,red-blue,explosion,50
exeggcute,1,red-blue,hypnosis,1
exeggcute,1,red-blue,barrage,1
exeggcute,1,red-blue,reflect,25
exeggcute,1,red-blue,leech-seed,28
exeggcute,1,red-blue,stun-spore,32
exeggcute,1,red-blue,poison-powder,37
exeggcute,1,red-blue,solar-beam,42
exeggcute,1,red-blue,sleep-powder,48
exeggutor,1,red-blue,hypnosis,1
exeggutor,1,red-blue,barrage,1
exeggutor,1,red-blue,stomp,28
farfetchd,1,red-blue,sand-attack,1
farfetchd,1,red-blue,peck,1
farfetchd,1,red-blue,leer,7
farfetchd,1,red-blue,fury-attack,15
farfetchd,1,red-blue,swords-dance,23
farfetchd,1,red-blue,agility,31
farfetchd,1,red-blue,slash,39
fearow,1,red-blue,leer,1
fearow,1,red-blue,growl,1
fearow,1,red-blue,peck,1
fearow,1,red-blue,leer,9
fearow,1,red-blue,fury-attack,15
fearow,1,red-blue,mirror-move,25
fearow,1,red-blue,drill-peck,34
fearow,1,red-blue,agility,43
flareon,1,red-blue,sand-attack,1
flareon,1,red-blue,tackle,1
flareon,1,red-blue,ember,1
flareon,1,red-blue,quick-attack,1
flareon,1,red-blue,quick-attack,27
flareon,1,red-blue,ember,31
flareon,1,red-blue,tail-whip,37
flareon,1,red-blue,bite,40
flareon,1,red-blue,leer,42
flareon,1,red-blue,fire-spin,44
flareon,1,red-blue,rage,48
flareon,1,red-blue,flamethrower,54
gastly,1,red-blue,night-shade,1
gastly,1,red-blue,confuse-ray,1
gastly,1,red-blue,lick,1
gastly,1,red-blue,hypnosis,27
gastly,1,red-blue,dream-eater,35
gengar,1,red-blue,night-shade,1
gengar,1,red-blue,confuse-ray,1
gengar,1,red-blue,lick,1
gengar,1,red-blue,hypnosis,29
gengar,1,red-blue,dream-eater,38
geodude,1,red-blue,tackle,1
geodude,1,red-blue,defense-curl,11
geodude,1,red-blue,rock-throw,16
geodude,1,red-blue,self-destruct,21
geodude,1,red-blue,harden,26
geodude,1,red-blue,earthquake,31
geodude,1,red-blue,explosion,36
gloom,1,red-blue,absorb,1
gloom,1,red-blue,poison-powder,1
gloom,1,red-blue,stun-spore,1
gloom,1,red-blue,poison-powder,15
gloom,1,red-blue,stun-spore,17
gloom,1,red-blue,sleep-powder,19
gloom,1,red-blue,acid,28
gloom,1,red-blue,petal-dance,38
gloom,1,red-blue,solar-beam,52
golbat,1,red-blue,bite,1
golbat,1,red-blue,screech,1
golbat,1,red-blue,leech-life,1
golbat,1,red-blue,supersonic,10
golbat,1,red-blue,bite,15
golbat,1,red-blue,confuse-ray,21
golbat,1,red-blue,wing-attack,32
golbat,1,red-blue,haze,43
goldeen,1,red-blue,tail-whip,1
goldeen,1,red-blue,peck,1
goldeen,1,red-blue,supersonic,19
goldeen,1,red-blue,horn-attack,24
goldeen,1,red-blue,fury-attack,30
goldeen,1,red-blue,waterfall,37
goldeen,1,red-blue,horn-drill,45
goldeen,1,red-blue,agility,54
golduck,1,red-blue,scratch,1
golduck,1,red-blue,tail-whip,1
golduck,1,red-blue,disable,1
golduck,1,red-blue,tail-whip,28
golduck,1,red-blue,disable,31
golduck,1,red-blue,confusion,39
golduck,1,red-blue,fury-swipes,48
golduck,1,red-blue,hydro-pump,59
golem,1,red-blue,tackle,1
golem,1,red-blue,defense-curl,1
golem,1,red-blue,defense-curl,11
golem,1,red-blue,rock-throw,16
golem,1,red-blue,self-destruct,21
golem,1,red-blue,harden,29
golem,1,red-blue,earthquake,36
golem,1,red-blue,explosion,43
graveler,1,red-blue,tackle,1
graveler,1,red-blue,defense-curl,1
graveler,1,red-blue,defense-curl,11
graveler,1,red-blue,rock-throw,16
graveler,1,red-blue,self-destruct,21
graveler,1,red-blue,harden,29
graveler,1,red-blue,earthquake,36
graveler,1,red-blue,explosion,43
grimer,1,red-blue,pound,1
grimer,1,red-blue,disable,1
grimer,1,red-blue,poison-gas,30
grimer,1,red-blue,minimize,33
grimer,1,red-blue,sludge,37
grimer,1,red-blue,harden,42
grimer,1,red-blue,screech,48
grimer,1,red-blue,acid-armor,55
growlithe,1,red-blue,bite,1
growlithe,1,red-blue,roar,1
growlithe,1,red-blue,ember,18
growlithe,1,red-blue,leer,23
growlithe,1,red-blue,take-down,30
growlithe,1,red-blue,agility,39
growlithe,1,red-blue,flamethrower,50
gyarados,1,red-blue,leer,1
gyarados,1,red-blue,bite,1
gyarados,1,red-blue,hydro-pump,1
gyarados,1,red-blue,dragon-rage,1
gyarados,1,red-blue,bite,20
gyarados,1,red-blue,dragon-rage,25
gyarados,1,red-blue,leer,32
gyarados,1,red-blue,hydro-pump,41
gyarados,1,red-blue,hyper-beam,52
haunter,1,red-blue,night-shade,1
haunter,1,red-blue,confuse-ray,1
haunter,1,red-blue,lick,1
haunter,1,red-blue,hypnosis,29
haunter,1,red-blue,dream-eater,38
hitmonchan,1,red-blue,comet-punch,1
hitmonchan,1,red-blue,agility,1
hitmonchan,1,red-blue,fire-punch,33
hitmonchan,1,red-blue,ice-punch,38
hitmonchan,1,red-blue,thunder-punch,43
hitmonchan,1,red-blue,mega-punch,48
hitmonchan,1,red-blue,counter,53
hitmonlee,1,red-blue,double-kick,1
hitmonlee,1,red-blue,meditate,1
hitmonlee,1,red-blue,rolling-kick,33
hitmonlee,1,red-blue,jump-kick,38
hitmonlee,1,red-blue,focus-energy,43
hitmonlee,1,red-blue,high-jump-kick,48
hitmonlee,1,red-blue,mega-kick,53
horsea,1,red-blue,bubble,1
horsea,1,red-blue,smokescreen,19
horsea,1,red-blue,leer,24
horsea,1,red-blue,water-gun,30
horsea,1,red-blue,agility,37
horsea,1,red-blue,hydro-pump,45
hypno,1,red-blue,pound,1
hypno,1,red-blue,disable,1
hypno,1,red-blue,confusion,1
hypno,1,red-blue,hypnosis,1
hypno,1,red-blue,disable,12
hypno,1,red-blue,confusion,17
hypno,1,red-blue,headbutt,24
hypno,1,red-blue,poison-gas,33
hypno,1,red-blue,psychic,37
hypno,1,red-blue,meditate,43
ivysaur,1,red-blue,tackle,1
ivysaur,1,red-blue,growl,1
ivysaur,1,red-blue,leech-seed,1
ivysaur,1,red-blue,leech-seed,7
ivysaur,1,red-blue,vine-whip,13
ivysaur,1,red-blue,poison-powder,22
ivysaur,1,red-blue,razor-leaf,30
ivysaur,1,red-blue,growth,38
ivysaur,1,red-blue,sleep-powder,46
ivysaur,1,red-blue,solar-beam,54
jigglypuff,1,red-blue,sing,1
jigglypuff,1,red-blue,pound,9
jigglypuff,1,red-blue,disable,14
jigglypuff,1,red-blue,defense-curl,19
jigglypuff,1,red-blue,double-slap,24
jigglypuff,1,red-blue,rest,29
jigglypuff,1,red-blue,body-slam,34
jigglypuff,1,red-blue,double-edge,39
jolteon,1,red-blue,sand-attack,1
jolteon,1,red-blue,tackle,1
jolteon,1,red-blue,thunder-shock,1
jolteon,1,red-blue,quick-attack,1
jolteon,1,red-blue,quick-attack,27
jolteon,1,red-blue,thunder-shock,31
jolteon,1,red-blue,tail-whip,37
jolteon,1,red-blue,thunder-wave,40
jolteon,1,red-blue,double-kick,42
jolteon,1,red-blue,agility,44
jolteon,1,red-blue,pin-missile,48
jolteon,1,red-blue,thunder,54
jynx,1,red-blue,pound,1
jynx,1,red-blue,lovely-kiss,1
jynx,1,red-blue,lick,18
jynx,1,red-blue,double-slap,23
jynx,1,red-blue,ice-punch,31
jynx,1,red-blue,body-slam,39
jynx,1,red-blue,thrash,47
jynx,1,red-blue,blizzard,58
kabuto,1,red-blue,scratch,1
kabuto,1,red-blue,harden,1
kabuto,1,red-blue,absorb,34
kabuto,1,red-blue,slash,39
kabuto,1,red-blue,leer,44
kabuto,1,red-blue,hydro-pump,49
kabutops,1,red-blue,scratch,1
kabutops,1,red-blue,absorb,1
kabutops,1,red-blue,harden,1
kabutops,1,red-blue,absorb,34
kabutops,1,red-blue,slash,39
kabutops,1,red-blue,leer,46
kabutops,1,red-blue,hydro-pump,53
kadabra,1,red-blue,disable,1
kadabra,1,red-blue,confusion,1
kadabra,1,red-blue,teleport,1
kadabra,1,red-blue,confusion,16
kadabra,1,red-blue,disable,20
kadabra,1,red-blue,psybeam,27
kadabra,1,red-blue,recover,31
kadabra,1,red-blue,psychic,38
kadabra,1,red-blue,reflect,42
kakuna,1,red-blue,harden,1
kangaskhan,1,red-blue,comet-punch,1
kangaskhan,1,red-blue,rage,1
kangaskhan,1,red-blue,bite,26
kangaskhan,1,red-blue,tail-whip,31
kangaskhan,1,red-blue,mega-punch,36
kangaskhan,1,red-blue,leer,41
kangaskhan,1,red-blue,dizzy-punch,46
kingler,1,red-blue,vice-grip,1
kingler,1,red-blue,leer,1
kingler,1,red-blue,bubble,1
kingler,1,red-blue,vice-grip,20
kingler,1,red-blue,guillotine,25
kingler,1,red-blue,stomp,34
kingler,1,red-blue,crabhammer,42
kingler,1,red-blue,harden,49
koffing,1,red-blue,tackle,1
koffing,1,red-blue,smog,1
koffing,1,red-blue,sludge,32
koffing,1,red-blue,smokescreen,37
koffing,1,red-blue,self-destruct,40
koffing,1,red-blue,haze,45
koffing,1,red-blue,explosion,48
krabby,1,red-blue,leer,1
krabby,1,red-blue,bubble,1
krabby,1,red-blue,vice-grip,20
krabby,1,red-blue,guillotine,25
krabby,1,red-blue,stomp,30
krabby,1,red-blue,crabhammer,35
krabby,1,red-blue,harden,40
lapras,1,red-blue,growl,1
lapras,1,red-blue,water-gun,1
lapras,1,red-blue,sing,16
lapras,1,red-blue,mist,20
lapras,1,red-blue,body-slam,25
lapras,1,red-blue,confuse-ray,31
lapras,1,red-blue,ice-beam,38
lapras,1,red-blue,hydro-pump,46
lickitung,1,red-blue,wrap,1
lickitung,1,red-blue,supersonic,1
lickitung,1,red-blue,stomp,7
lickitung,1,red-blue,disable,15
lickitung,1,red-blue,defense-curl,23
lickitung,1,red-blue,slam,31
lickitung,1,red-blue,screech,39
machamp,1,red-blue,karate-chop,1
machamp,1,red-blue,leer,1
machamp,1,red-blue,low-kick,1
machamp,1,red-blue,low-kick,20
machamp,1,red-blue,leer,25
machamp,1,red-blue,focus-energy,36
machamp,1,red-blue,seismic-toss,44
machamp,1,red-blue,submission,52
machoke,1,red-blue,karate-chop,1
machoke,1,red-blue,leer,1
machoke,1,red-blue,low-kick,1
machoke,1,red-blue,low-kick,20
machoke,1,red-blue,leer,25
machoke,1,red-blue,focus-energy,36
machoke,1,red-blue,seismic-toss,44
machoke,1,red-blue,submission,52
machop,1,red-blue,karate-chop,1
machop,1,red-blue,low-kick,20
machop,1,red-blue,leer,25
machop,1,red-blue,focus-energy,32
machop,1,red-blue,seismic-toss,39
machop,1,red-blue,submission,46
magikarp,1,red-blue,splash,1
magikarp,1,red-blue,tackle,15
magmar,1,red-blue,ember,1
magmar,1,red-blue,leer,36
magmar,1,red-blue,confuse-ray,39
magmar,1,red-blue,fire-punch,43
magmar,1,red-blue,smokescreen,48
magmar,1,red-blue,smog,52
magmar,1,red-blue,flamethrower,55
magnemite,1,red-blue,tackle,1
magnemite,1,red-blue,sonic-boom,21
magnemite,1,red-blue,thunder-shock,25
magnemite,1,red-blue,supersonic,29
magnemite,1,red-blue,thunder-wave,35
magnemite,1,red-blue,swift,41
magnemite,1,red-blue,screech,47
magneton,1,red-blue,tackle,1
magneton,1,red-blue,sonic-boom,1
magneton,1,red-blue,thunder-shock,1
magneton,1,red-blue,sonic-boom,21
magneton,1,red-blue,thunder-shock,25
magneton,1,red-blue,supersonic,29
magneton,1,red-blue,thunder-wave,38
magneton,1,red-blue,swift,46
magneton,1,red-blue,screech,54
mankey,1,red-blue,scratch,1
mankey,1,red-blue,leer,1
mankey,1,red-blue,karate-chop,15
mankey,1,red-blue,fury-swipes,21
mankey,1,red-blue,focus-energy,27
mankey,1,red-blue,seismic-toss,33
mankey,1,red-blue,thrash,39
marowak,1,red-blue,leer,1
marowak,1,red-blue,growl,1
marowak,1,red-blue,focus-energy,1
marowak,1,red-blue,bone-club,1
marowak,1,red-blue,leer,25
marowak,1,red-blue,focus-energy,33
marowak,1,red-blue,thrash,41
marowak,1,red-blue,bonemerang,48
marowak,1,red-blue,rage,55
meowth,1,red-blue,scratch,1
meowth,1,red-blue,growl,1
meowth,1,red-blue,bite,12
meowth,1,red-blue,pay-day,17
meowth,1,red-blue,screech,24
meowth,1,red-blue,fury-swipes,33
meowth,1,red-blue,slash,44
metapod,1,red-blue,harden,1
mew,1,red-blue,pound,1
mew,1,red-blue,transform,10
mew,1,red-blue,mega-punch,20
mew,1,red-blue,metronome,30
mew,1,red-blue,psychic,40
mewtwo,1,red-blue,disable,1
mewtwo,1,red-blue,confusion,1
mewtwo,1,red-blue,psychic,1
mewtwo,1,red-blue,swift,1
mewtwo,1,red-blue,barrier,63
mewtwo,1,red-blue,psychic,66
mewtwo,1,red-blue,recover,70
mewtwo,1,red-blue,mist,75
mewtwo,1,red-blue,amnesia,81
moltres,1,red-blue,peck,1
moltres,1,red-blue,fire-spin,1
moltres,1,red-blue,leer,51
moltres,1,red-blue,agility,55
moltres,1,red-blue,sky-attack,60
mr-mime,1,red-blue,confusion,1
mr-mime,1,red-blue,barrier,1
mr-mime,1,red-blue,confusion,15
mr-mime,1,red-blue,light-screen,23
mr-mime,1,red-blue,double-slap,31
mr-mime,1,red-blue,meditate,39
mr-mime,1,red-blue,substitute,47
muk,1,red-blue,pound,1
muk,1,red-blue,disable,1
muk,1,red-blue,poison-gas,1
muk,1,red-blue,poison-gas,30
muk,1,red-blue,minimize,33
muk,1,red-blue,sludge,37
muk,1,red-blue,harden,45
muk,1,red-blue,screech,53
muk,1,red-blue,acid-armor,60
nidoking,1,red-blue,horn-attack,1
nidoking,1,red-blue,tackle,1
nidoking,1,red-blue,thrash,1
nidoking,1,red-blue,poison-sting,1
nidoking,1,red-blue,horn-attack,8
nidoking,1,red-blue,poison-sting,14
nidoking,1,red-blue,thrash,23
nidoqueen,1,red-blue,scratch,1
nidoqueen,1,red-blue,tackle,1
nidoqueen,1,red-blue,body-slam,1
nidoqueen,1,red-blue,tail-whip,1
nidoqueen,1,red-blue,scratch,8
nidoqueen,1,red-blue,poison-sting,14
nidoqueen,1,red-blue,body-slam,23
nidoran-f,1,red-blue,tackle,1
nidoran-f,1,red-blue,growl,1
nidoran-f,1,red-blue,scratch,8
nidoran-f,1,red-blue,poison-sting,14
nidoran-f,1,red-blue,tail-whip,21
nidoran-f,1,red-blue,bite,29
nidoran-f,1,red-blue,fury-swipes,36
nidoran-f,1,red-blue,double-kick,43
nidoran-m,1,red-blue,tackle,1
nidoran-m,1,red-blue,leer,1
nidoran-m,1,red-blue,horn-attack,8
nidoran-m,1,red-blue,poison-sting,14
nidoran-m,1,red-blue,focus-energy,21
nidoran-m,1,red-blue,fury-attack,29
nidoran-m,1,red-blue,horn-drill,36
nidoran-m,1,red-blue,double-kick,43
nidorina,1,red-blue,scratch,1
nidorina,1,red-blue,tackle,1
nidorina,1,red-blue,growl,1
nidorina,1,red-blue,scratch,8
nidorina,1,red-blue,poison-sting,14
nidorina,1,red-blue,tail-whip,23
nidorina,1,red-blue,bite,32
nidorina,1,red-blue,fury-swipes,41
nidorina,1,red-blue,double-kick,50
nidorino,1,red-blue,horn-attack,1
nidorino,1,red-blue,tackle,1
nidorino,1,red-blue,leer,1
nidorino,1,red-blue,horn-attack,8
nidorino,1,red-blue,poison-sting,14
nidorino,1,red-blue,focus-energy,23
nidorino,1,red-blue,fury-attack,32
nidorino,1,red-blue,horn-drill,41
nidorino,1,red-blue,double-kick,50
ninetales,1,red-blue,tail-whip,1
ninetales,1,red-blue,roar,1
ninetales,1,red-blue,ember,1
ninetales,1,red-blue,quick-attack,1
oddish,1,red-blue,absorb,1
oddish,1,red-blue,poison-powder,15
oddish,1,red-blue,stun-spore,17
oddish,1,red-blue,sleep-powder,19
oddish,1,red-blue,acid,24
oddish,1,red-blue,petal-dance,33
oddish,1,red-blue,solar-beam,46
omanyte,1,red-blue,water-gun,1
omanyte,1,red-blue,withdraw,1
omanyte,1,red-blue,horn-attack,34
omanyte,1,red-blue,leer,39
omanyte,1,red-blue,spike-cannon,46
omanyte,1,red-blue,hydro-pump,53
omastar,1,red-blue,horn-attack,1
omastar,1,red-blue,water-gun,1
omastar,1,red-blue,withdraw,1
omastar,1,red-blue,horn-attack,34
omastar,1,red-blue,leer,39
omastar,1,red-blue,spike-cannon,44
omastar,1,red-blue,hydro-pump,49
onix,1,red-blue,tackle,1
onix,1,red-blue,screech,1
onix,1,red-blue,bind,15
onix,1,red-blue,rock-throw,19
onix,1,red-blue,rage,25
onix,1,red-blue,slam,33
onix,1,red-blue,harden,43
paras,1,red-blue,scratch,1
paras,1,red-blue,stun-spore,13
paras,1,red-blue,leech-life,20
paras,1,red-blue,spore,27
paras,1,red-blue,slash,34
paras,1,red-blue,growth,41
parasect,1,red-blue,scratch,1
parasect,1,red-blue,stun-spore,1
parasect,1,red-blue,leech-life,1
parasect,1,red-blue,stun-spore,13
parasect,1,red-blue,leech-life,20
parasect,1,red-blue,spore,30
parasect,1,red-blue,slash,39
parasect,1,red-blue,growth,48
persian,1,red-blue,scratch,1
persian,1,red-blue,bite,1
persian,1,red-blue,growl,1
persian,1,red-blue,screech,1
persian,1,red-blue,bite,12
persian,1,red-blue,pay-day,17
persian,1,red-blue,screech,24
persian,1,red-blue,fury-swipes,37
persian,1,red-blue,slash,51
pidgeot,1,red-blue,gust,1
pidgeot,1,red-blue,sand-attack,1
pidgeot,1,red-blue,quick-attack,1
pidgeot,1,red-blue,sand-attack,5
pidgeot,1,red-blue,quick-attack,12
pidgeot,1,red-blue,whirlwind,21
pidgeot,1,red-blue,wing-attack,31
pidgeot,1,red-blue,agility,44
pidgeot,1,red-blue,mirror-move,54
pidgeotto,1,red-blue,gust,1
pidgeotto,1,red-blue,sand-attack,1
pidgeotto,1,red-blue,sand-attack,5
pidgeotto,1,red-blue,quick-attack,12
pidgeotto,1,red-blue,whirlwind,21
pidgeotto,1,red-blue,wing-attack,31
pidgeotto,1,red-blue,agility,40
pidgeotto,1,red-blue,mirror-move,49
pidgey,1,red-blue,gust,1
pidgey,1,red-blue,sand-attack,5
pidgey,1,red-blue,quick-attack,12
pidgey,1,red-blue,whirlwind,19
pidgey,1,red-blue,wing-attack,28
pidgey,1,red-blue,agility,36
pidgey,1,red-blue,mirror-move,44
pikachu,1,red-blue,growl,1
pikachu,1,red-blue,thunder-shock,1
pikachu,1,red-blue,thunder-wave,9
pikachu,1,red-blue,quick-attack,16
pikachu,1,red-blue,swift,26
pikachu,1,red-blue,agility,33
pikachu,1,red-blue,thunder,43
pinsir,1,red-blue,vice-grip,1
pinsir,1,red-blue,seismic-toss,25
pinsir,1,red-blue,guillotine,30
pinsir,1,red-blue,focus-energy,36
pinsir,1,red-blue,harden,43
pinsir,1,red-blue,slash,49
pinsir,1,red-blue,swords-dance,54
poliwag,1,red-blue,bubble,1
poliwag,1,red-blue,hypnosis,16
poliwag,1,red-blue,water-gun,19
poliwag,1,red-blue,double-slap,25
poliwag,1,red-blue,body-slam,31
poliwag,1,red-blue,amnesia,38
poliwag,1,red-blue,hydro-pump,45
poliwhirl,1,red-blue,water-gun,1
